Pos,Bowlers_Name,Mat,Inns,Overs,Runs,Wkts,Bbi,Average,Economy,SR,4w,5w,Bowlers_Team
57,Tabraiz Shamsi,4,4,16.0,147,3,Jan-21,49.0,9.18,32.0,0,0,Royal Challengers Bangalore
58,RP Singh,4,4,12.0,111,3,Jan-23,37.0,9.25,24.0,0,0,Rising Pune Supergiant
59,KC Cariappa,5,5,17.0,159,3,Feb-16,53.0,9.35,34.0,0,0,Kings XI Punjab
60,Ishant Sharma,4,4,15.0,148,3,Feb-36,49.33,9.86,30.0,0,0,Rising Pune Supergiant
61,Sachin Baby,11,2,1.4,8,2,02-Apr,4.0,4.8,5.0,0,0,Royal Challengers Bangalore
62,John Hastings,2,2,6.4,37,2,02-Jun,18.5,5.55,20.0,0,0,Kolkata Knight Riders
63,Chris Gayle,10,4,10.0,63,2,02-Nov,31.5,6.3,30.0,0,0,Royal Challengers Bangalore
64,Jayant Yadav,5,5,17.0,125,2,Jan-23,62.5,7.35,51.0,0,0,Delhi Daredevils
65,Scott Boland,2,2,7.0,54,2,Feb-31,27.0,7.71,21.0,0,0,Rising Pune Supergiant
66,Gurkeerat Mann Singh,7,3,4.0,31,2,Feb-15,15.5,7.75,12.0,0,0,Kings XI Punjab
67,JP Duminy,10,5,7.0,55,2,01-Apr,27.5,7.85,21.0,0,0,Delhi Daredevils
68,Jason Holder,4,4,13.0,103,2,Feb-33,51.5,7.92,39.0,0,0,Kolkata Knight Riders
69,Rishi Dhawan,2,2,7.0,56,2,Jan-21,28.0,8.0,21.0,0,0,Kings XI Punjab
70,Shahbaz Nadeem,4,4,15.0,127,2,Feb-23,63.5,8.46,45.0,0,0,Delhi Daredevils
71,Shadab Jakati,6,6,20.0,178,2,Jan-13,89.0,8.9,60.0,0,0,Gujarat Lions
72,Varun Aaron,8,8,23.4,227,2,Feb-37,113.5,9.59,71.0,0,0,Royal Challengers Bangalore
73,Mitchell Johnson,3,3,11.0,106,2,Jan-35,53.0,9.63,33.0,0,0,Kings XI Punjab
74,James Faulkner,7,7,17.0,167,2,Jan-23,83.5,9.82,51.0,0,0,Gujarat Lions
75,Kyle Abbott,5,5,16.0,177,2,Jan-38,88.5,11.06,48.0,0,0,Kings XI Punjab
76,Albie Morkel,2,2,5.0,66,2,Feb-36,33.0,13.2,15.0,0,0,Rising Pune Supergiant
77,Yusuf Pathan,15,4,6.0,33,1,01-Jun,33.0,5.5,36.0,0,0,Kolkata Knight Riders
78,Ankit Sharma,3,3,11.0,84,1,Jan-27,84.0,7.63,66.0,0,0,Rising Pune Supergiant
79,Stuart Binny,14,11,17.0,134,1,Jan-17,134.0,7.88,102.0,0,0,Royal Challengers Bangalore
80,Parveez Rasool,4,4,14.0,129,1,Jan-31,129.0,9.21,84.0,0,0,Royal Challengers Bangalore
81,Pawan Negi,8,5,9.0,84,1,Jan-19,84.0,9.33,54.0,0,0,Delhi Daredevils
82,Trent Boult,1,1,4.0,39,1,Jan-39,39.0,9.75,24.0,0,0,Sunrisers Hyderabad
83,Rajagopal Sathish,4,3,6.0,59,1,Jan-20,59.0,9.83,36.0,0,0,Kolkata Knight Riders
84,Ashish Reddy,4,2,3.5,39,1,Jan-14,39.0,10.17,23.0,0,0,Sunrisers Hyderabad
85,Harshal Patel,5,5,14.0,147,1,Jan-46,147.0,10.5,84.0,0,0,Royal Challengers Bangalore
86,Adam Milne,1,1,4.0,43,1,Jan-43,43.0,10.75,24.0,0,0,Royal Challengers Bangalore
87,Nitish Rana,4,1,1.0,3,0,0/3,,3.0,,0,0,Mumbai Indians
88,Shreyas Gopal,1,1,3.0,18,0,0/18,,6.0,,0,0,Mumbai Indians
89,Kane Williamson,6,1,1.0,7,0,0/7,,7.0,,0,0,Sunrisers Hyderabad
90,Anureet Singh,2,2,6.0,43,0,0/15,,7.16,,0,0,Kings XI Punjab
91,Colin Munro,4,2,2.0,15,0,0/7,,7.5,,0,0,Kolkata Knight Riders
92,Irfan Pathan,4,3,8.0,61,0,0/7,,7.62,,0,0,Rising Pune Supergiant
